卷一 李世民
卷二百六十九 耿湋
卷二百七十 戎昱
卷二百七十一 竇叔向
卷二百七十二 韋元甫
卷二百七十三 戴叔倫
卷二百七十四 戴叔倫
卷二百七十五 張建封
卷二百七十六 盧綸
卷二百七十七 盧綸
卷二百七十八 盧綸
卷二百七十九 盧綸
卷二百八十 盧綸
卷二百八十一 崔琮
卷二百八十二 李益
卷二百八十三 李益
卷二百八十四 李端
卷二百八十五 李端
卷二百八十六 李端
卷二百八十七 暢當
卷二百八十八 陸贄
卷二百八十九 楊憑
卷二百九十 楊凝
卷二百九十一 楊淩
卷二百九十二 司空曙
卷二百九十三 司空曙
卷二百九十四 崔峒
卷二百九十五 苗發
卷二百九十六 張南史
卷二百九十七 王建
卷二百九十八 王建
卷二百九十九 王建
卷三百 王建
卷三百一 王建
卷三百二 王建
卷三百三 劉商
卷三百四 劉商
卷三百五 陳翊
卷三百六 朱灣
卷三百七 丘丹
卷三百八 張志和
卷三百九 郭鄖
卷三百十 於鵠
卷三百十一 劉長川
卷三百十二 劉迥
卷三百十三 崔元翰
卷三百十四 陳京
卷三百十五 朱放
卷三百十六 武元衡
卷三百十七 武元衡
卷三百十八 李吉甫
卷三百十九 顏粲
卷三百二十 權德輿
卷三百二十一 權德輿
卷三百二十二 權德輿
卷三百二十三 權德輿
卷三百二十四 權德輿
卷三百二十五 權德輿
卷三百二十六 權德輿
卷三百二十七 權德輿
卷三百二十八 權德輿
卷三百二十九 權德輿
卷三百三十 張薦
卷三百三十一 段文昌
卷三百三十二 羊士諤
卷三百三十三 楊巨源
卷三百三十四 令狐楚
卷三百三十五 裴度
卷三百三十六 韓愈
卷三百三十七 韓愈
卷三百三十八 韓愈
卷三百三十九 韓愈
卷三百四十 韓愈
卷三百四十一 韓愈
卷三百四十二 韓愈
卷三百四十三 韓愈
卷三百四十四 韓愈
卷三百四十五 韓愈
卷三百四十六 王涯
卷三百四十七 賈棱
卷三百四十八 陳羽
卷三百四十九 歐陽詹
卷三百五十 柳宗元
卷三百五十一 柳宗元
卷三百五十二 柳宗元
卷三百五十三 柳宗元
卷三百五十四 劉禹錫
卷三百五十五 劉禹錫
卷三百五十六 劉禹錫
卷三百五十七 劉禹錫
卷三百五十八 劉禹錫
卷三百五十九 劉禹錫
卷三百六十 劉禹錫
卷三百六十一 劉禹錫
